Degree,Probability
2,0.18961038961038962
3,0.19350649350649352
4,0.16103896103896104
5,0.1
6,0.07532467532467532
7,0.05844155844155844
8,0.048051948051948054
9,0.03636363636363636
10,0.02987012987012987
11,0.016883116883116882
12,0.01038961038961039
13,0.00909090909090909
14,0.00909090909090909
15,0.006493506493506494
16,0.007792207792207792
17,0.007792207792207792
18,0.0025974025974025974
19,0.006493506493506494
20,0.0025974025974025974
21,0.003896103896103896
22,0.003896103896103896
23,0.0012987012987012987
24,0.003896103896103896
25,0.003896103896103896
26,0.0025974025974025974
27,0.0012987012987012987
29,0.0012987012987012987
30,0.0012987012987012987
31,0.0012987012987012987
32,0.0012987012987012987
44,0.0012987012987012987
47,0.0012987012987012987
