Degree,Log(Probability)
2,-1.7258048986311938
3,-1.65067246743026
4,-1.888060080270391
5,-2.1799704888316933
6,-2.477113369787703
7,-2.8289115768871427
8,-3.072533659544893
9,-3.326314180320993
10,-3.527478824916427
11,-3.8672172593242613
12,-4.288067286271905
13,-4.288067286271905
14,-4.552759840498988
15,-4.913773186036318
16,-5.078852936395767
17,-5.104828422799027
18,-5.446577716521084
19,-5.564360752177468
20,-5.6978921448019895
21,-5.852042824629248
22,-5.797975603358973
23,-6.439829489531367
24,-6.9506551132973575
25,-6.9506551132973575
26,-6.662973040845577
27,-6.9506551132973575
28,-6.7965044334700995
29,-7.132976670091312
30,-6.545190005189194
31,-6.9506551132973575
32,-8.049267401965468
33,-7.356120221405522
34,-8.049267401965468
35,-7.643802293857303
36,-8.049267401965468
38,-8.049267401965468
39,-8.742414582525413
41,-8.742414582525413
42,-8.742414582525413
43,-8.049267401965468
44,-8.742414582525413
46,-8.049267401965468
52,-8.742414582525413
56,-8.742414582525413
57,-8.742414582525413
63,-8.049267401965468
80,-8.742414582525413
86,-8.742414582525413
99,-8.742414582525413
