Degree,Log(Probability)
2,-1.770130851501277
3,-1.6900881438277404
4,-1.8835316114776688
5,-2.1946961309828605
6,-2.5322709035481736
7,-2.7539676255769585
8,-3.13503402263985
9,-3.2933084196509705
10,-3.6582821664043976
11,-3.6884959450008945
12,-4.167125628966398
13,-4.100114918683437
14,-4.40648912414737
15,-4.811954232255535
16,-5.0210460301140944
17,-5.0210460301140944
18,-5.1713282331634325
19,-5.50510141281548
20,-5.646751929878507
21,-5.668730836597282
22,-5.5435676936432765
23,-6.143188816192398
24,-6.108097496381128
25,-6.0414061218824555
26,-6.384350873009287
27,-6.702804604127821
28,-6.836335996752344
29,-7.077498053569231
30,-6.642179982311386
31,-7.172808233373557
32,-8.376781037699493
33,-7.172808233373557
34,-7.278168749031383
35,-7.529483177312288
36,-8.089098965247711
37,-7.3959517846877665
38,-8.089098965247711
39,-8.089098965247711
40,-7.865955413933502
41,-8.782246145807656
42,-8.376781037699493
43,-7.865955413933502
44,-9.475393326367602
45,-8.782246145807656
47,-8.782246145807656
50,-9.475393326367602
51,-9.475393326367602
53,-9.475393326367602
54,-8.782246145807656
56,-9.475393326367602
58,-9.475393326367602
61,-9.475393326367602
65,-8.782246145807656
68,-9.475393326367602
71,-9.475393326367602
74,-9.475393326367602
78,-9.475393326367602
89,-9.475393326367602
91,-9.475393326367602
94,-9.475393326367602
96,-9.475393326367602
113,-9.475393326367602
128,-9.475393326367602
151,-9.475393326367602
158,-9.475393326367602
178,-9.475393326367602
196,-9.475393326367602
324,-9.475393326367602
351,-9.475393326367602
