Degree,Probability
2,0.17277621122789028
3,0.18322225070494744
4,0.1477185337093053
5,0.11721353499102795
6,0.08401691873878493
7,0.06472699307869777
8,0.04466803383747757
9,0.033965649833376056
10,0.026595744680851064
11,0.02294283517046911
12,0.01717508331197129
13,0.013137657011022815
14,0.011471417585234555
15,0.00910023071007434
16,0.007818508074852602
17,0.005767751858497821
18,0.005960010253781082
19,0.0036529095103819535
20,0.003204306588054345
21,0.0034606511150986926
22,0.0029479620610099976
23,0.0018584978210715202
24,0.0016662394257882594
25,0.0016021532940271724
26,0.0014739810305049988
27,0.001217636503460651
28,0.0008972058446552166
29,0.0005767751858497821
30,0.0007690335811330429
31,0.0004486029223276083
32,0.0004486029223276083
33,0.0010253781081773904
34,0.0005126890540886952
35,0.0005126890540886952
36,0.0002563445270443476
37,0.0003204306588054345
38,0.0002563445270443476
39,0.00038451679056652143
40,0.00038451679056652143
41,6.40861317610869e-05
42,0.0002563445270443476
43,0.00019225839528326071
44,0.0003204306588054345
45,6.40861317610869e-05
46,0.0001281722635221738
47,0.0001281722635221738
48,0.00019225839528326071
49,6.40861317610869e-05
50,0.00019225839528326071
51,0.00019225839528326071
56,0.00019225839528326071
61,6.40861317610869e-05
62,0.0001281722635221738
63,6.40861317610869e-05
64,6.40861317610869e-05
65,6.40861317610869e-05
66,6.40861317610869e-05
68,6.40861317610869e-05
69,6.40861317610869e-05
71,0.0001281722635221738
73,6.40861317610869e-05
83,6.40861317610869e-05
85,6.40861317610869e-05
91,6.40861317610869e-05
93,0.0001281722635221738
98,6.40861317610869e-05
107,6.40861317610869e-05
110,6.40861317610869e-05
117,6.40861317610869e-05
120,6.40861317610869e-05
136,0.0001281722635221738
143,6.40861317610869e-05
154,6.40861317610869e-05
163,6.40861317610869e-05
179,6.40861317610869e-05
260,6.40861317610869e-05
